Registro,Modalidad,Responsable,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Área de suelo contaminado m²,Volumen de suelo contaminado m³,Programa de remediación aprobado,x,y,Técnica,Responsable de la remediación,Proceso de tratamiento,Año de conclusión,Área de suelo remediado m²,Año de identificación,Volumen de suelo remediado m³
1403,Emergencia ambiental,Gilberto Sánchez Valdés ,Coahuila_de_Zaragoza,Saltillo,Km 16.9 carretera No. 54 Saltillo-Torreón ,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,466.24,536.2,Si,-101.139,25.46,,,,,,2013,
1404,,,,,"Km 14 carretera Arriaga-Ocozocoautla, tramo carretero Arriaga-Tierra y Libertad",,,,,,,,,,,Biológicos,Ana Lilia Sánchez Hernández,Biorremediación por landfarming a un lado del sitio contaminado,2016,157.5,,141.75
1405,Emergencia ambiental,"Express Milac, S.A. de C.V.",Michoacán_de_Ocampo,Ecuandureo,"Km 26 carretera federal No. 37, tramo La Piedad-Carapan",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,24.2,23.28,Si,-102.163,20.219,,,,,,2013,
1406,,,,,"Km 130+000 camino nacional No. 26 Los Herrera-Topia, tramo Los Herrera-Ciénega, Ejido Salto de Camellones",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2015,6777,,777.6
1407,,,,,"Km 023+400 camino nacional No. 185D Coatzacoalcos-Salina Cruz, tramo caseta de peaje Ixtepec-Salina Cruz",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2016,195,,390
1409,,,,,"Km 124+140 carretera transpeninsular Lic. Benito Juárez, tramo La Paz-San José del Cabo",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2016,67.5,,67.5
1410,Emergencia ambiental,"Flensa, S.A. de C.V.",Guerrero,Iguala de la Independencia,Km 049+900 carretera Cuernavaca-Iguala,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,300,210,Si,-99.484,18.391,,,,,,2013,
1411,Emergencia ambiental,Pemex Refinación,Sinaloa,Mazatlán,Km 006+290 diéselducto de 20 Ø tramo muelleTerminal de Almacenamiento y Reparto Mazatlán,Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,290.98,646.62,Si,-106.39,23.237,,,,,,2013,
1412,Emergencia ambiental,Pemex Refinación,Sinaloa,Mazatlán,Km 008+050 combustoleoducto de 20-25 Ø tramo muelle MazatlánComisión Federal de Electricidad,Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,209.37,48.89,Si,-106.368,23.215,,,,,,2013,
1413,,,,,"Km 192+412 carretera federal No. 180D Kantunil-Cancún, a la altura del poblado X-Can",,,,,,,,,,,Combinación de procesos biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado y biorremediación por landfarming en el sitio contaminado ,2016,200,,247
